ID,Bloco,User Story,Descrição,Critérios de Aceite,Prioridade,Estimativa,Peso Valor,Peso Urgência,Peso Viabilidade,Status,Sprint,Componentes
US-01,A - Refatoração CAOS → Oracle,Migração do Motor de Raciocínio para o Oracle,"Como arquiteto, quero mover toda a lógica de julgamento e decisão que estava no CAOS para o Oracle, para separar responsabilidades: Oracle decide, CAOS audita.","Remoção da lógica de raciocínio do CAOS (antigo cortex.py); Criação do system prompt Oracle (~170 linhas, metodologia 6 camadas); build_context_prompt() (~250 linhas) com injeção de telemetria, anomalias, guardrails, RAG; Integração LLM Gemini 2.0 Flash com get_llm() singleton",Alta,8,5,5,4,Concluído,Sprint 03/2026,Backend - Oracle (oracle.py)
US-02,A - Refatoração CAOS → Oracle,Parser e Fusão Híbrida no Oracle,"Como engenheiro, quero que o Oracle combine análise LLM + código determinístico (fusão híbrida), para ter decisões robustas com peso de confiança.","parse_llm_response() (~100 linhas) — extração estruturada; calculate_risk_dimensions_code() (~80 linhas) — risco por código; Fusão CODE+LLM com pesos de confiança; Fórmula JudgeEngine para veredito final",Alta,5,5,4,5,Concluído,Sprint 03/2026,Backend - Oracle (oracle.py)
US-03,A - Refatoração CAOS → Oracle,Tool Calling e Fallbacks no Oracle,"Como operador, quero que o Oracle chame APIs externas (clima) e tenha mecanismos de fallback, para enriquecer decisões e ser resiliente a falhas.","Tool calling via SOLICITAR: CLIMA → Weather API; Circuit breaker para falhas de LLM; Timeout handling com resposta degradada; Fallback para resposta vazia da LLM",Média,5,4,3,4,Concluído,Sprint 03/2026,Backend - Oracle (oracle.py)
US-04,A - Refatoração CAOS → Oracle,Consumo de Feedback do Verifier no Oracle,"Como engenheiro, quero que o Oracle consuma o feedback estruturado do CAOS Verifier em retries, para ajustar seu raciocínio com base nas instruções de correção.","Oracle lê verifier_feedback do estado; Injeção do feedback no contexto do prompt de retry; Recycle dampening (multiplicador 0.75); Controle de verifier_retry_count",Alta,5,5,5,4,Concluído,Sprint 03/2026,Backend - Oracle (oracle.py)
US-05,A - Refatoração CAOS → Oracle,Transformação do CAOS de Juiz para Verificador,"Como arquiteto, quero que o CAOS deixe de ser o motor de decisão e passe a ser apenas o verificador/auditor, para criar separação clara entre quem decide e quem audita.","Remoção completa da lógica de julgamento do cortex.py; Nova persona de auditor independente (não decide, apenas verifica); Inversão de responsabilidade: de tomar decisão para validar decisão do Oracle",Alta,5,5,5,4,Concluído,Sprint 03/2026,Backend - Cortex (cortex.py)
US-06,B - CAOS Verifier (Novo),Motor de Raciocínio LLM do CAOS Verifier,"Como operador, quero que o CAOS Verifier use uma LLM (Gemini 2.0 Flash) com persona de auditor independente, para avaliar criticamente cada decisão do Oracle antes da execução.","System prompt de auditor (~80 linhas) com persona e critérios; Context builder com 6 seções (decisão Oracle, telemetria, anomalias, histórico, guardrails, RAG); Parser estruturado da resposta LLM (veredicto, score, justificativa, issues)",Alta,8,5,5,4,Concluído,Sprint 03/2026,Backend - CAOS Verifier (cortex.py)
US-07,B - CAOS Verifier (Novo),Checklist de 30 Verificações Programáticas,"Como engenheiro de confiabilidade, quero um checklist determinístico com 30 verificações em 8 categorias, para garantir cobertura objetiva independente da LLM.","8 categorias: Fontes de Dados, Avaliação de Risco, Ação Proposta, Raciocínio, Segurança, Temporal, Fatores Externos, Fórmula; 8 funções verify_* (~500 linhas); Classes ChecklistItem e VerificationReport",Alta,8,5,5,4,Concluído,Sprint 03/2026,Backend - CAOS Verifier (cortex.py)
US-08,B - CAOS Verifier (Novo),Score Dual-Layer (LLM 60% + Checklist 40%),"Como gestor, quero que a nota final do Verifier combine LLM (60%) e checklist (40%), para equilibrar julgamento contextual com rigor objetivo.","Combinação ponderada com peso configurável; Override CRITICAL: se checklist detecta falha crítica, score final ≤ 0.3; Threshold de aprovação/rejeição configurável",Alta,5,5,4,5,Concluído,Sprint 03/2026,Backend - CAOS Verifier (cortex.py)
US-09,B - CAOS Verifier (Novo),Feedback Loop CAOS → Oracle (Retry),"Como operador, quero que quando o CAOS rejeitar uma decisão, ele envie instruções estruturadas de volta ao Oracle para re-análise, para auto-corrigir decisões sem intervenção humana.","Geração de feedback com issues específicos e instruções de correção; Conditional edge should_retry_after_verifier() no StateGraph; Limite de 1 retry para evitar loops infinitos",Alta,8,5,5,4,Concluído,Sprint 03/2026,"Backend - CAOS Verifier (cortex.py), Brain (brain.py)"
US-10,B - CAOS Verifier (Novo),Ajustes de Risco pelo Verifier,"Como engenheiro de segurança, quero que o CAOS Verifier corrija dimensões de risco quando detectar inconsistências, para garantir que riscos subestimados sejam elevados.","Elevação contratual (risk_contractual se SLA violado); Correção física (risk_physical se temperatura extrema); Violação LOTO (força block_execution); Forçar HITL quando ação é irreversível",Alta,5,5,5,4,Concluído,Sprint 03/2026,Backend - CAOS Verifier (cortex.py)
US-11,C - Orquestração e Estado,Nó Verifier no StateGraph,"Como arquiteto, quero o CAOS Verifier como nó independente no grafo LangGraph entre Oracle e Guardrails, para criar uma camada de auditoria obrigatória no pipeline.","Nó verifier adicionado ao StateGraph (5 nós total); Edge condicional de retry (verifier → oracle); Integração com edge de recycle dos guardrails",Alta,5,5,5,5,Concluído,Sprint 03/2026,Backend - Orquestração (brain.py)
US-12,C - Orquestração e Estado,Campos de Estado e Persistência do Verifier,"Como desenvolvedor, quero campos dedicados no JudgeState e na Reasoning Store para o Verifier, para persistir auditoria e controle de retry.","verifier_feedback: str | None e verifier_retry_count: int no TypedDict; Extração para ReasoningEntry: caos_llm, verification_passed/score/issues/adjustments/report; API endpoints servindo dados do verifier",Média,5,4,4,5,Concluído,Sprint 03/2026,"Backend - Estado (state.py), API (reasoning.py)"
US-13,D - Frontend,Step do CAOS Verifier no Pipeline Visual,"Como operador, quero ver o CAOS Verifier como 7º passo no pipeline do frontend, para acompanhar visualmente que a auditoria ocorreu.","Pipeline de 6 → 7 steps (Verifier entre Cortex e Guardrails); Timeline com segmento verifier (22% com LLM, 10% sem); buildVerifierSummary() com status + score + checks + retry",Média,5,4,3,5,Concluído,Sprint 03/2026,Frontend - reasoning.html
US-14,D - Frontend,Card de Detalhe do Verifier no Frontend,"Como operador, quero um card de detalhe completo com verdito, scores, checklist de 30 itens e feedback, para inspecionar a auditoria.","renderVerifierDetail() — card completo com banner de verdito; Grid 3 colunas com scores (LLM, Checklist, Final); Checklist visual com 30 itens, categorias e severidade; Seção de audit LLM e feedback box; Badge de retry count",Média,5,4,3,5,Concluído,Sprint 03/2026,Frontend - reasoning.html
US-15,D - Frontend,CSS e Narrativa do Verifier no Frontend,"Como operador, quero identidade visual dedicada (tema roxo) e narrativa adaptada para o Verifier, para consistência visual.","20+ classes CSS (.verifier-verdict-banner, .verifier-scores-grid, .checklist-grid, etc.); Narrativa Step 5 dedicada ao CAOS Verifier; Steps 6-7 renumerados (Guardrails e Final); Renomeação do header Cortex para incluir (Oracle)",Média,5,3,3,5,Concluído,Sprint 03/2026,Frontend - reasoning.html
US-16,E - Testes,Testes Unitários do CAOS Verifier,"Como desenvolvedor, quero testes automatizados cobrindo o Verifier (checklist, score, feedback, retry), para garantir regressão zero.","Testes de cada categoria do checklist; Testes de combinação de score dual-layer; Testes de geração de feedback e override CRITICAL",Alta,5,4,4,5,Concluído,Sprint 03/2026,Testes - tests/
